Sat Dec 21 00:00:00 PST 1996,100.167,95.3173,98.0082
Sun Dec 22 00:00:00 PST 1996,101.586,100.554,101.482
Mon Dec 23 00:00:00 PST 1996,101.001,100.808,100.939
Tue Dec 24 00:00:00 PST 1996,100.245,98.7478,99.7311
Wed Dec 25 00:00:00 PST 1996,97.7597,95.9128,97.0169
Thu Dec 26 00:00:00 PST 1996,99.7519,98.2822,98.5032
Fri Dec 27 00:00:00 PST 1996,96.7946,95.4958,96.0554
Sat Dec 28 00:00:00 PST 1996,96.6378,94.1337,96.5683
Sun Dec 29 00:00:00 PST 1996,96.9161,94.3258,94.6293
Mon Dec 30 00:00:00 PST 1996,94.4454,89.639,91.4321
Tue Dec 31 00:00:00 PST 1996,95.2413,92.0197,93.8186
Wed Jan 01 00:00:00 PST 1997,94.0611,89.3488,93.0935
Thu Jan 02 00:00:00 PST 1997,95.2925,94.0139,94.6896
Fri Jan 03 00:00:00 PST 1997,97.3341,95.7683,97.0259
Sat Jan 04 00:00:00 PST 1997,98.2057,94.0107,97.9649
Sun Jan 05 00:00:00 PST 1997,101.294,98.7631,100.432
Mon Jan 06 00:00:00 PST 1997,99.7052,98.8957,99.1805
Tue Jan 07 00:00:00 PST 1997,102.119,101.996,101.998
Wed Jan 08 00:00:00 PST 1997,102.877,98.2486,101.848
Thu Jan 09 00:00:00 PST 1997,101.876,98.3875,100.076
Fri Jan 10 00:00:00 PST 1997,101.734,99.2813,99.8905
Sat Jan 11 00:00:00 PST 1997,99.208,98.4721,98.499
Sun Jan 12 00:00:00 PST 1997,100.573,96.79,99.2526
Mon Jan 13 00:00:00 PST 1997,98.5297,97.7019,98.1368
Tue Jan 14 00:00:00 PST 1997,96.0555,93.4006,95.4271
Wed Jan 15 00:00:00 PST 1997,95.2524,90.4127,94.0988
Thu Jan 16 00:00:00 PST 1997,95.2245,90.3981,93.1837
Fri Jan 17 00:00:00 PST 1997,94.8425,92.2304,94.6304
Sat Jan 18 00:00:00 PST 1997,96.6003,92.1332,93.3726
Sun Jan 19 00:00:00 PST 1997,97.478,95.396,95.8994
Mon Jan 20 00:00:00 PST 1997,96.4424,95.6775,96.0527
Tue Jan 21 00:00:00 PST 1997,99.0842,94.2552,95.7055
Wed Jan 22 00:00:00 PST 1997,99.3388,98.2301,98.9664
Thu Jan 23 00:00:00 PST 1997,101.344,98.7218,99.4406
Fri Jan 24 00:00:00 PST 1997,101.066,97.3084,99.9128
Sat Jan 25 00:00:00 PST 1997,100.277,99.2758,99.2856
Sun Jan 26 00:00:00 PST 1997,101.444,97.289,97.929
Mon Jan 27 00:00:00 PST 1997,100.147,97.9677,99.7893
Tue Jan 28 00:00:00 PST 1997,98.6324,98.3282,98.5597
Wed Jan 29 00:00:00 PST 1997,100.572,99.7722,100.073
Thu Jan 30 00:00:00 PST 1997,100.683,96.8276,100.324
Fri Jan 31 00:00:00 PST 1997,100.199,97.8623,99.845
Sat Feb 01 00:00:00 PST 1997,101.348,96.527,98.4818
Sun Feb 02 00:00:00 PST 1997,100.143,99.9777,100.075
Mon Feb 03 00:00:00 PST 1997,101.137,97.0558,100.282
Tue Feb 04 00:00:00 PST 1997,99.6411,96.0416,98.8263
Wed Feb 05 00:00:00 PST 1997,96.7566,92.6739,95.9207
Thu Feb 06 00:00:00 PST 1997,94.5398,94.1159,94.3837
Fri Feb 07 00:00:00 PST 1997,96.4517,92.0517,95.8623
Sat Feb 08 00:00:00 PST 1997,94.6227,90.9182,92.924
