06 Jul 1990 09:50:56, 17, 91, 89, 90
07 Jul 1990 09:50:56, 57, 105, 89, 100
08 Jul 1990 09:50:56, 27, 110, 98, 108
09 Jul 1990 09:50:56, 37, 108, 90, 100
10 Jul 1990 09:50:56, 57, 105, 90, 95
11 Jul 1990 09:50:56, 07, 100, 95, 95
12 Jul 1990 09:50:56, 37, 95, 88, 88
13 Jul 1990 09:50:56, 57, 90, 82, 85
14 Jul 1990 09:50:56, 17, 95, 86, 90
15 Jul 1990 09:50:56, 77, 100, 90, 99
16 Jul 1990 09:50:56, 17, 102, 97, 102
17 Jul 1990 09:50:56, 17, 91, 89, 90
18 Jul 1990 09:50:56, 57, 105, 89, 100
19 Jul 1990 09:50:56, 27, 110, 98, 108
20 Jul 1990 09:50:56, 37, 108, 90, 100
21 Jul 1990 09:50:56, 57, 105, 90, 95
22 Jul 1990 09:50:56, 07, 100, 95, 95
23 Jul 1990 09:50:56, 37, 95, 88, 88
24 Jul 1990 09:50:56, 57, 90, 82, 85
25 Jul 1990 09:50:56, 17, 95, 86, 90
26 Jul 1990 09:50:56, 77, 100, 90, 99
27 Jul 1990 09:50:56, 17, 102, 97, 102

